Date,Visitor,G,Home,G,,Att.,LOG,Notes
11/29/2022,Tampa Bay Lightning,1,Boston Bruins,3,,17850,2:26,
11/29/2022,Florida Panthers,2,Calgary Flames,6,,17806,2:26,
11/29/2022,Seattle Kraken,9,Los Angeles Kings,8,OT,13215,2:31,
11/29/2022,San Jose Sharks,4,Montreal Canadiens,0,,21105,2:22,
11/29/2022,Anaheim Ducks,1,Nashville Predators,2,OT,17159,2:28,
11/29/2022,New York Islanders,1,Philadelphia Flyers,3,,18143,2:27,
11/29/2022,Carolina Hurricanes,3,Pittsburgh Penguins,2,OT,15942,2:26,
11/29/2022,Washington Capitals,5,Vancouver Canucks,1,,18179,2:18,
11/29/2022,Colorado Avalanche,0,Winnipeg Jets,5,,13510,2:24,
11/30/2022,Edmonton Oilers,5,Chicago Blackhawks,4,,15397,2:34,
11/30/2022,Buffalo Sabres,5,Detroit Red Wings,4,SO,17117,2:47,
11/30/2022,New York Rangers,3,Ottawa Senators,1,,14654,2:23,
11/30/2022,San Jose Sharks,1,Toronto Maple Leafs,3,,18679,2:21,
12/1/2022,Colorado Avalanche,6,Buffalo Sabres,4,,12805,2:32,
12/1/2022,Montreal Canadiens,2,Calgary Flames,1,,18106,2:33,
12/1/2022,Anaheim Ducks,0,Dallas Stars,5,,18012,2:27,
12/1/2022,Arizona Coyotes,3,Los Angeles Kings,5,,13764,2:25,
12/1/2022,Edmonton Oilers,3,Minnesota Wild,5,,17651,2:23,
12/1/2022,Nashville Predators,4,New Jersey Devils,3,OT,14071,2:26,
12/1/2022,Tampa Bay Lightning,4,Philadelphia Flyers,1,,17867,2:20,
12/1/2022,Vegas Golden Knights,3,Pittsburgh Penguins,4,,15895,2:28,
12/1/2022,Washington Capitals,2,Seattle Kraken,3,OT,17151,2:25,
12/1/2022,Carolina Hurricanes,6,St. Louis Blues,4,,18096,2:24,
12/1/2022,Florida Panthers,5,Vancouver Canucks,1,,18052,2:31,
12/2/2022,Nashville Predators,4,New York Islanders,1,,16263,2:30,
12/2/2022,Ottawa Senators,3,New York Rangers,2,OT,18006,2:45,
12/2/2022,Columbus Blue Jackets,4,Winnipeg Jets,1,,13240,2:31,
12/3/2022,Colorado Avalanche,1,Boston Bruins,5,,17850,2:40,
12/3/2022,Washington Capitals,2,Calgary Flames,5,,18698,2:30,
12/3/2022,Vegas Golden Knights,4,Detroit Red Wings,1,,19515,2:24,
12/3/2022,Montreal Canadiens,3,Edmonton Oilers,5,,18347,2:25,
12/3/2022,Carolina Hurricanes,4,Los Angeles Kings,2,,16067,2:27,
12/3/2022,Anaheim Ducks,4,Minnesota Wild,5,SO,17822,2:56,
12/3/2022,Chicago Blackhawks,5,New York Rangers,2,,18006,2:29,
12/3/2022,San Jose Sharks,2,Ottawa Senators,5,,17101,2:24,
12/3/2022,New Jersey Devils,3,Philadelphia Flyers,2,,18427,2:23,
12/3/2022,St. Louis Blues,2,Pittsburgh Penguins,6,,17330,2:28,
12/3/2022,Florida Panthers,5,Seattle Kraken,1,,17151,2:24,
12/3/2022,Toronto Maple Leafs,3,Tampa Bay Lightning,4,OT,19092,2:39,
12/3/2022,Arizona Coyotes,2,Vancouver Canucks,3,OT,18516,2:34,
12/4/2022,San Jose Sharks,3,Buffalo Sabres,6,,13655,2:22,
12/4/2022,Detroit Red Wings,4,Columbus Blue Jackets,2,,16087,2:28,
12/4/2022,Minnesota Wild,6,Dallas Stars,5,SO,18120,2:38,
12/4/2022,Chicago Blackhawks,0,New York Islanders,3,,16124,2:32,
12/4/2022,Anaheim Ducks,2,Winnipeg Jets,5,,13444,2:30,
12/5/2022,Vegas Golden Knights,4,Boston Bruins,3,SO,17850,2:46,
12/5/2022,Arizona Coyotes,2,Calgary Flames,3,,16899,2:23,
12/5/2022,Washington Capitals,3,Edmonton Oilers,2,,17264,2:24,
12/5/2022,St. Louis Blues,4,New York Rangers,6,,16682,2:30,
12/5/2022,Colorado Avalanche,3,Philadelphia Flyers,5,,18361,2:21,
12/5/2022,Montreal Canadiens,6,Vancouver Canucks,7,OT,18420,2:31,
12/6/2022,Carolina Hurricanes,3,Anaheim Ducks,4,OT,14576,2:29,
12/6/2022,Toronto Maple Leafs,4,Dallas Stars,0,,18021,2:22,
12/6/2022,Chicago Blackhawks,0,New Jersey Devils,3,,13071,2:18,
12/6/2022,St. Louis Blues,7,New York Islanders,4,,16044,2:26,
12/6/2022,Los Angeles Kings,5,Ottawa Senators,2,,13459,2:25,
12/6/2022,Columbus Blue Jackets,1,Pittsburgh Penguins,4,,15867,2:33,
12/6/2022,Montreal Canadiens,4,Seattle Kraken,2,,17151,2:28,
12/6/2022,Detroit Red Wings,4,Tampa Bay Lightning,2,,19092,2:23,
12/6/2022,Florida Panthers,2,Winnipeg Jets,5,,13426,2:26,
12/7/2022,Buffalo Sabres,9,Columbus Blue Jackets,4,,15659,2:25,
12/7/2022,Minnesota Wild,3,Calgary Flames,5,,17562,2:31,
12/7/2022,Boston Bruins,4,Colorado Avalanche,0,,18119,2:29,
12/7/2022,Arizona Coyotes,2,Edmonton Oilers,8,,16633,2:25,
12/7/2022,Washington Capitals,4,Philadelphia Flyers,1,,16826,2:25,
12/7/2022,Vancouver Canucks,6,San Jose Sharks,5,OT,11492,2:30,
12/7/2022,New York Rangers,5,Vegas Golden Knights,1,,17939,2:33,
12/8/2022,Ottawa Senators,3,Dallas Stars,4,OT,18023,2:40,
12/8/2022,Detroit Red Wings,1,Florida Panthers,5,,14961,2:27,
12/8/2022,Winnipeg Jets,5,St. Louis Blues,2,,18096,2:19,
12/8/2022,Nashville Predators,2,Tampa Bay Lightning,5,,19092,2:36,
12/8/2022,Los Angeles Kings,0,Toronto Maple Leafs,5,,18567,2:26,
12/9/2022,San Jose Sharks,6,Anaheim Ducks,1,,14487,2:28,
12/9/2022,Boston Bruins,3,Arizona Coyotes,4,,4600,2:28,
12/9/2022,Pittsburgh Penguins,4,Buffalo Sabres,3,OT,17205,2:29,
12/9/2022,Calgary Flames,1,Columbus Blue Jackets,3,,16902,2:28,
12/9/2022,Winnipeg Jets,3,Chicago Blackhawks,1,,17847,2:36,
12/9/2022,New York Rangers,2,Colorado Avalanche,1,SO,18112,2:30,
12/9/2022,Minnesota Wild,2,Edmonton Oilers,5,,17589,2:45,
12/9/2022,New York Islanders,6,New Jersey Devils,4,,16514,2:33,
12/9/2022,Philadelphia Flyers,1,Vegas Golden Knights,2,OT,17767,2:35,
12/9/2022,Seattle Kraken,1,Washington Capitals,4,,18573,2:25,
12/10/2022,Detroit Red Wings,2,Dallas Stars,3,OT,18532,2:31,
12/10/2022,Los Angeles Kings,4,Montreal Canadiens,2,,21105,2:24,
12/10/2022,Ottawa Senators,3,Nashville Predators,2,,17414,2:34,
12/10/2022,Carolina Hurricanes,3,New York Islanders,0,,17255,2:11,
12/10/2022,Buffalo Sabres,1,Pittsburgh Penguins,3,,18414,2:22,
12/10/2022,Florida Panthers,1,Tampa Bay Lightning,4,,19092,2:26,
12/10/2022,Calgary Flames,4,Toronto Maple Leafs,5,OT,18857,2:37,
12/10/2022,Minnesota Wild,3,Vancouver Canucks,0,,18526,2:21,
12/11/2022,Philadelphia Flyers,4,Arizona Coyotes,5,OT,4600,2:43,
12/11/2022,Los Angeles Kings,5,Columbus Blue Jackets,6,OT,14560,2:30,
12/11/2022,Seattle Kraken,5,Florida Panthers,2,,15625,2:28,
12/11/2022,Colorado Avalanche,3,St. Louis Blues,2,OT,18096,2:33,
12/11/2022,Boston Bruins,3,Vegas Golden Knights,1,,18114,2:28,
12/11/2022,Washington Capitals,5,Winnipeg Jets,2,,14096,2:22,
12/12/2022,Edmonton Oilers,1,Minnesota Wild,2,,17707,2:30,
12/12/2022,Calgary Flames,1,Montreal Canadiens,2,SO,21105,2:55,
12/12/2022,New Jersey Devils,3,New York Rangers,4,OT,18006,2:27,
12/12/2022,Anaheim Ducks,0,Ottawa Senators,3,,14204,2:31,
12/12/2022,Dallas Stars,1,Pittsburgh Penguins,2,,17147,2:23,
12/12/2022,Nashville Predators,0,St. Louis Blues,1,OT,18096,2:24,
12/13/2022,New York Islanders,3,Boston Bruins,4,SO,17850,2:42,
12/13/2022,Los Angeles Kings,0,Buffalo Sabres,6,,12873,2:29,
12/13/2022,Washington Capitals,7,Chicago Blackhawks,3,,16181,2:19,
12/13/2022,Philadelphia Flyers,2,Colorado Avalanche,3,,18082,2:26,
12/13/2022,Carolina Hurricanes,1,Detroit Red Wings,0,,19515,2:27,
12/13/2022,Columbus Blue Jackets,0,Florida Panthers,4,,15819,2:21,
12/13/2022,Dallas Stars,4,New Jersey Devils,1,,13114,2:26,
12/13/2022,Edmonton Oilers,6,Nashville Predators,3,,17159,2:28,
12/13/2022,Arizona Coyotes,2,San Jose Sharks,3,,10462,2:22,
12/13/2022,Seattle Kraken,2,Tampa Bay Lightning,6,,19092,2:34,
12/13/2022,Anaheim Ducks,0,Toronto Maple Leafs,7,,18477,2:32,
12/13/2022,Vegas Golden Knights,6,Winnipeg Jets,5,,13102,2:30,
12/14/2022,Vancouver Canucks,4,Calgary Flames,3,SO,17552,2:35,
12/14/2022,Detroit Red Wings,1,Minnesota Wild,4,,18324,2:23,
12/14/2022,Montreal Canadiens,2,Ottawa Senators,3,,19567,2:23,
12/15/2022,Los Angeles Kings,3,Boston Bruins,2,SO,17850,2:45,
12/15/2022,Seattle Kraken,2,Carolina Hurricanes,3,,18680,2:23,
12/15/2022,Vegas Golden Knights,4,Chicago Blackhawks,1,,15911,2:12,
12/15/2022,Buffalo Sabres,4,Colorado Avalanche,2,,18103,2:32,
12/15/2022,St. Louis Blues,4,Edmonton Oilers,3,SO,17550,2:40,
12/15/2022,Pittsburgh Penguins,4,Florida Panthers,2,,14538,2:33,
12/15/2022,Anaheim Ducks,5,Montreal Canadiens,2,,21105,2:26,
12/15/2022,Philadelphia Flyers,2,New Jersey Devils,1,,14137,2:26,
12/15/2022,Toronto Maple Leafs,1,New York Rangers,3,,18006,2:20,
12/15/2022,Columbus Blue Jackets,1,Tampa Bay Lightning,4,,19092,2:25,
12/15/2022,Nashville Predators,1,Winnipeg Jets,2,OT,13949,2:31,
12/15/2022,Dallas Stars,2,Washington Capitals,1,,18573,2:31,
12/16/2022,New York Islanders,4,Arizona Coyotes,5,,4600,2:39,
12/16/2022,St. Louis Blues,5,Calgary Flames,2,,18001,2:26,
12/16/2022,Chicago Blackhawks,1,Minnesota Wild,4,,18501,2:25,
12/17/2022,Buffalo Sabres,5,Arizona Coyotes,2,,4600,2:25,
12/17/2022,Columbus Blue Jackets,2,Boston Bruins,4,,17850,2:29,
12/17/2022,Dallas Stars,4,Carolina Hurricanes,5,OT,18680,2:42,
12/17/2022,Nashville Predators,1,Colorado Avalanche,3,,18131,2:22,
12/17/2022,Ottawa Senators,6,Detroit Red Wings,3,,19515,2:25,
12/17/2022,Anaheim Ducks,4,Edmonton Oilers,3,,18296,2:37,
12/17/2022,San Jose Sharks,2,Los Angeles Kings,3,SO,18230,2:39,
12/17/2022,Tampa Bay Lightning,5,Montreal Canadiens,1,,21105,2:23,
12/17/2022,Florida Panthers,4,New Jersey Devils,2,,15082,2:29,
12/17/2022,New York Rangers,6,Philadelphia Flyers,3,,18340,2:26,
12/17/2022,Winnipeg Jets,5,Vancouver Canucks,1,,18487,2:20,
12/17/2022,New York Islanders,5,Vegas Golden Knights,2,,18007,2:28,
12/17/2022,Toronto Maple Leafs,2,Washington Capitals,5,,18573,2:20,
12/18/2022,Pittsburgh Penguins,2,Carolina Hurricanes,3,,18117,2:22,
12/18/2022,New York Rangers,7,Chicago Blackhawks,1,,17365,2:17,
12/18/2022,Ottawa Senators,2,Minnesota Wild,4,,18213,2:22,
12/18/2022,Winnipeg Jets,2,Seattle Kraken,3,,17151,2:22,
12/18/2022,Calgary Flames,5,San Jose Sharks,2,,14207,2:34,
12/19/2022,Montreal Canadiens,3,Arizona Coyotes,2,OT,4600,2:28,
12/19/2022,Florida Panthers,3,Boston Bruins,7,,17850,2:32,
12/19/2022,Dallas Stars,2,Columbus Blue Jackets,1,,16402,2:22,
12/19/2022,New York Islanders,0,Colorado Avalanche,1,SO,18110,2:41,
12/19/2022,Edmonton Oilers,3,Nashville Predators,4,OT,17558,2:23,
12/19/2022,St. Louis Blues,5,Vancouver Canucks,1,,18692,2:16,
12/19/2022,Buffalo Sabres,3,Vegas Golden Knights,2,,17808,2:35,
12/19/2022,Detroit Red Wings,3,Washington Capitals,4,OT,18573,2:33,
12/20/2022,New Jersey Devils,1,Carolina Hurricanes,4,,18680,2:26,
12/20/2022,Anaheim Ducks,1,Los Angeles Kings,4,,18230,2:26,
12/20/2022,Columbus Blue Jackets,3,Philadelphia Flyers,5,,19432,2:22,
12/20/2022,New York Rangers,2,Pittsburgh Penguins,3,,18005,2:27,
12/20/2022,St. Louis Blues,2,Seattle Kraken,5,,17151,2:20,
12/20/2022,Calgary Flames,7,San Jose Sharks,3,,10431,2:28,
12/20/2022,Tampa Bay Lightning,1,Toronto Maple Leafs,4,,18962,2:22,
12/20/2022,Ottawa Senators,1,Winnipeg Jets,5,,14277,2:19,
12/21/2022,Minnesota Wild,4,Anaheim Ducks,1,,14961,2:28,
12/21/2022,Nashville Predators,4,Chicago Blackhawks,2,,15239,2:20,
12/21/2022,Montreal Canadiens,1,Colorado Avalanche,2,OT,18091,2:27,
12/21/2022,Edmonton Oilers,6,Dallas Stars,3,,18532,2:27,
12/21/2022,Tampa Bay Lightning,4,Detroit Red Wings,7,,19515,2:33,
12/21/2022,New Jersey Devils,4,Florida Panthers,2,,17073,2:30,
12/21/2022,Arizona Coyotes,2,Vegas Golden Knights,5,,17711,2:27,
12/22/2022,Winnipeg Jets,2,Boston Bruins,3,,17850,2:25,
12/22/2022,Calgary Flames,3,Los Angeles Kings,4,OT,16731,2:27,
12/22/2022,New York Islanders,3,New York Rangers,5,,18006,2:26,
12/22/2022,Washington Capitals,3,Ottawa Senators,2,OT,17231,2:32,
12/22/2022,Carolina Hurricanes,4,Pittsburgh Penguins,3,OT,18075,2:34,
12/22/2022,Minnesota Wild,2,San Jose Sharks,5,,13128,2:28,
12/22/2022,Philadelphia Flyers,3,Toronto Maple Leafs,4,,18908,2:24,
12/22/2022,Seattle Kraken,5,Vancouver Canucks,6,SO,18794,2:39,
12/23/2022,Calgary Flames,3,Anaheim Ducks,2,OT,16094,2:30,
12/23/2022,Los Angeles Kings,1,Arizona Coyotes,2,SO,4600,2:32,
12/23/2022,Philadelphia Flyers,5,Carolina Hurricanes,6,,18680,2:34,
12/23/2022,Columbus Blue Jackets,2,Chicago Blackhawks,5,,17108,2:36,
12/23/2022,Montreal Canadiens,2,Dallas Stars,4,,18532,2:32,
12/23/2022,Vancouver Canucks,5,Edmonton Oilers,2,,18347,2:22,
12/23/2022,Boston Bruins,4,New Jersey Devils,3,,16514,2:20,
12/23/2022,Colorado Avalanche,3,Nashville Predators,2,OT,17159,2:36,
12/23/2022,Florida Panthers,1,New York Islanders,5,,17255,2:24,
12/23/2022,St. Louis Blues,4,Vegas Golden Knights,5,SO,18125,2:30,
12/23/2022,Winnipeg Jets,1,Washington Capitals,4,,18573,2:34,
12/27/2022,Colorado Avalanche,3,Arizona Coyotes,6,,4600,2:22,
12/27/2022,Chicago Blackhawks,0,Carolina Hurricanes,3,,18814,2:18,
12/27/2022,Edmonton Oilers,2,Calgary Flames,1,,19289,2:24,
12/27/2022,Vegas Golden Knights,2,Los Angeles Kings,4,,18230,2:19,
12/27/2022,Dallas Stars,3,Nashville Predators,2,,17768,2:26,
12/27/2022,Pittsburgh Penguins,1,New York Islanders,5,,17255,2:24,
12/27/2022,Washington Capitals,4,New York Rangers,0,,18006,2:27,
12/27/2022,Boston Bruins,2,Ottawa Senators,3,SO,20016,2:44,
12/27/2022,Toronto Maple Leafs,5,St. Louis Blues,4,OT,18096,2:29,
12/27/2022,San Jose Sharks,2,Vancouver Canucks,6,,18875,2:19,
12/27/2022,Minnesota Wild,4,Winnipeg Jets,1,,15325,2:25,
12/28/2022,Vegas Golden Knights,2,Anaheim Ducks,3,SO,15156,2:40,
12/28/2022,Boston Bruins,3,New Jersey Devils,1,,16514,2:25,
12/28/2022,Detroit Red Wings,5,Pittsburgh Penguins,4,OT,18387,2:27,
12/28/2022,Calgary Flames,3,Seattle Kraken,2,,17151,2:28,
12/28/2022,Montreal Canadiens,1,Tampa Bay Lightning,4,,19092,2:31,
12/29/2022,Toronto Maple Leafs,3,Arizona Coyotes,6,,4600,2:24,
12/29/2022,Detroit Red Wings,3,Buffalo Sabres,6,,19070,2:29,
12/29/2022,Los Angeles Kings,5,Colorado Avalanche,4,SO,18132,2:39,
12/29/2022,Montreal Canadiens,2,Florida Panthers,7,,19623,2:35,
12/29/2022,Dallas Stars,4,Minnesota Wild,1,,19316,2:34,
12/29/2022,Columbus Blue Jackets,1,New York Islanders,2,,17255,2:27,
12/29/2022,Philadelphia Flyers,4,San Jose Sharks,3,OT,17562,2:23,
12/29/2022,Chicago Blackhawks,1,St. Louis Blues,3,,18096,2:16,
12/29/2022,New York Rangers,1,Tampa Bay Lightning,2,SO,19092,2:46,
12/29/2022,Vancouver Canucks,2,Winnipeg Jets,4,,15325,2:23,
12/29/2022,Ottawa Senators,4,Washington Capitals,3,OT,18573,2:30,
12/30/2022,Nashville Predators,6,Anaheim Ducks,1,,14890,2:19,
12/30/2022,Florida Panthers,0,Carolina Hurricanes,4,,18767,2:32,
12/30/2022,New Jersey Devils,4,Pittsburgh Penguins,2,,18387,2:36,
12/30/2022,Edmonton Oilers,7,Seattle Kraken,2,,17151,2:27,
12/31/2022,Buffalo Sabres,4,Boston Bruins,3,OT,17850,2:41,
12/31/2022,Chicago Blackhawks,1,Columbus Blue Jackets,4,,18280,2:29,
12/31/2022,Vancouver Canucks,2,Calgary Flames,3,,19289,2:30,
12/31/2022,Toronto Maple Leafs,6,Colorado Avalanche,2,,18136,2:19,
12/31/2022,San Jose Sharks,2,Dallas Stars,5,,18532,2:21,
12/31/2022,Ottawa Senators,2,Detroit Red Wings,4,,19515,2:23,
12/31/2022,Winnipeg Jets,2,Edmonton Oilers,1,,18347,2:23,
12/31/2022,Philadelphia Flyers,4,Los Angeles Kings,2,,18230,2:25,
12/31/2022,Minnesota Wild,5,St. Louis Blues,2,,18096,2:26,
12/31/2022,Arizona Coyotes,3,Tampa Bay Lightning,5,,19092,2:27,
12/31/2022,Nashville Predators,4,Vegas Golden Knights,5,OT,18333,2:39,
12/31/2022,Montreal Canadiens,2,Washington Capitals,9,,18573,2:37,
1/1/2023,San Jose Sharks,5,Chicago Blackhawks,2,,19047,2:17,
1/1/2023,New York Rangers,5,Florida Panthers,3,,18272,2:27,
1/1/2023,Carolina Hurricanes,5,New Jersey Devils,4,SO,16514,2:48,
1/1/2023,Buffalo Sabres,1,Ottawa Senators,3,,18231,2:24,
1/1/2023,New York Islanders,1,Seattle Kraken,4,,17151,2:29,
1/2/2023,Philadelphia Flyers,4,Anaheim Ducks,1,,13600,2:18,
1/2/2023,Pittsburgh Penguins,1,Boston Bruins,2,,39243,2:42,at Fenway Park (Boston MA)
1/2/2023,Vegas Golden Knights,3,Colorado Avalanche,2,,18092,2:28,
1/3/2023,Tampa Bay Lightning,4,Chicago Blackhawks,1,,18429,2:29,
1/3/2023,Seattle Kraken,5,Edmonton Oilers,2,,18297,2:29,
1/3/2023,Arizona Coyotes,3,Florida Panthers,5,,19484,2:31,
1/3/2023,Dallas Stars,2,Los Angeles Kings,3,,16498,2:22,
1/3/2023,Montreal Canadiens,3,Nashville Predators,6,,17581,2:28,
1/3/2023,Carolina Hurricanes,3,New York Rangers,5,,17747,2:28,
1/3/2023,Columbus Blue Jackets,0,Ottawa Senators,4,,14457,2:27,
1/3/2023,St. Louis Blues,6,Toronto Maple Leafs,5,SO,18553,2:36,
1/3/2023,New York Islanders,6,Vancouver Canucks,2,,18912,2:20,
1/3/2023,Calgary Flames,2,Winnipeg Jets,3,,14130,2:26,
1/3/2023,Buffalo Sabres,5,Washington Capitals,4,OT,18573,2:35,
1/4/2023,Dallas Stars,0,Anaheim Ducks,2,,13179,2:30,
1/4/2023,New Jersey Devils,5,Detroit Red Wings,1,,19515,2:27,
1/4/2023,Tampa Bay Lightning,1,Minnesota Wild,5,,18427,2:32,
1/5/2023,Nashville Predators,5,Carolina Hurricanes,3,,18344,2:35,
1/5/2023,Washington Capitals,6,Columbus Blue Jackets,2,,17924,2:20,
1/5/2023,New York Islanders,2,Edmonton Oilers,4,,17755,2:24,
1/5/2023,Boston Bruins,5,Los Angeles Kings,2,,18230,2:21,
1/5/2023,New York Rangers,4,Montreal Canadiens,1,,21105,2:22,
1/5/2023,St. Louis Blues,5,New Jersey Devils,3,,15561,2:14,
1/5/2023,Arizona Coyotes,2,Philadelphia Flyers,6,,17572,2:18,
1/5/2023,Seattle Kraken,5,Toronto Maple Leafs,1,,18624,2:21,
1/5/2023,Colorado Avalanche,2,Vancouver Canucks,4,,18706,2:33,
1/5/2023,Pittsburgh Penguins,2,Vegas Golden Knights,5,,18149,2:27,
1/6/2023,San Jose Sharks,4,Anaheim Ducks,5,OT,16281,2:35,
1/6/2023,New York Islanders,1,Calgary Flames,4,,18837,2:21,
1/6/2023,Arizona Coyotes,0,Chicago Blackhawks,2,,19359,2:18,
1/6/2023,Florida Panthers,3,Detroit Red Wings,2,,19515,2:27,
1/6/2023,Tampa Bay Lightning,2,Winnipeg Jets,4,,15325,2:23,
1/6/2023,Nashville Predators,3,Washington Capitals,2,,18573,2:27,
1/7/2023,Minnesota Wild,5,Buffalo Sabres,6,OT,19070,2:34,
1/7/2023,Carolina Hurricanes,3,Columbus Blue Jackets,4,SO,18663,2:42,
1/7/2023,Colorado Avalanche,3,Edmonton Oilers,2,OT,18347,2:39,
1/7/2023,St. Louis Blues,4,Montreal Canadiens,5,,21105,2:22,
1/7/2023,New York Rangers,3,New Jersey Devils,4,OT,16514,2:31,
1/7/2023,Seattle Kraken,8,Ottawa Senators,4,,19347,2:32,
1/7/2023,Boston Bruins,4,San Jose Sharks,2,,17562,2:27,
1/7/2023,Detroit Red Wings,1,Toronto Maple Leafs,4,,19101,2:25,
1/7/2023,Los Angeles Kings,5,Vegas Golden Knights,1,,18339,2:24,
1/8/2023,Boston Bruins,7,Anaheim Ducks,1,,16127,2:27,
1/8/2023,Pittsburgh Penguins,4,Arizona Coyotes,1,,4600,2:18,
1/8/2023,Calgary Flames,3,Chicago Blackhawks,4,OT,18123,2:33,
1/8/2023,Florida Panthers,1,Dallas Stars,5,,18532,2:29,
1/8/2023,St. Louis Blues,3,Minnesota Wild,0,,18745,2:19,
1/8/2023,Toronto Maple Leafs,6,Philadelphia Flyers,2,,17862,2:25,
1/8/2023,Vancouver Canucks,4,Winnipeg Jets,7,,14206,2:23,
1/8/2023,Columbus Blue Jackets,0,Washington Capitals,1,,18573,2:20,
1/9/2023,Philadelphia Flyers,4,Buffalo Sabres,0,,11271,2:21,
1/9/2023,Edmonton Oilers,3,Los Angeles Kings,6,,16039,2:42,
1/9/2023,Seattle Kraken,4,Montreal Canadiens,0,,21105,2:20,
1/9/2023,Nashville Predators,3,Ottawa Senators,0,,13362,2:34,
1/10/2023,San Jose Sharks,4,Arizona Coyotes,2,,4600,2:21,
1/10/2023,Seattle Kraken,4,Buffalo Sabres,3,,13219,2:29,
1/10/2023,New Jersey Devils,5,Carolina Hurricanes,3,,18092,2:33,
1/10/2023,Florida Panthers,5,Colorado Avalanche,4,,18102,2:39,
1/10/2023,Winnipeg Jets,5,Detroit Red Wings,7,,19075,2:34,
1/10/2023,Dallas Stars,2,New York Islanders,1,SO,16412,2:34,
1/10/2023,Minnesota Wild,3,New York Rangers,4,SO,18006,2:47,
1/10/2023,Vancouver Canucks,4,Pittsburgh Penguins,5,,17986,2:26,
1/10/2023,Calgary Flames,3,St. Louis Blues,4,OT,18096,2:23,
1/10/2023,Columbus Blue Jackets,3,Tampa Bay Lightning,6,,19092,2:21,
1/11/2023,Edmonton Oilers,6,Anaheim Ducks,2,,16963,2:28,
1/11/2023,San Jose Sharks,3,Los Angeles Kings,4,,16717,2:24,
1/11/2023,Washington Capitals,3,Philadelphia Flyers,5,,17352,2:31,
1/11/2023,Nashville Predators,1,Toronto Maple Leafs,2,,18638,2:24,
1/12/2023,Ottawa Senators,5,Arizona Coyotes,3,,4600,2:30,
1/12/2023,Seattle Kraken,3,Boston Bruins,0,,17850,2:17,
1/12/2023,Winnipeg Jets,4,Buffalo Sabres,2,,15208,2:26,
1/12/2023,Carolina Hurricanes,6,Columbus Blue Jackets,2,,15766,2:32,
1/12/2023,Colorado Avalanche,2,Chicago Blackhawks,3,,16532,2:31,
1/12/2023,Toronto Maple Leafs,1,Detroit Red Wings,4,,19515,2:23,
1/12/2023,Nashville Predators,3,Montreal Canadiens,4,,21105,2:28,
1/12/2023,Minnesota Wild,3,New York Islanders,1,,17255,2:29,
1/12/2023,Dallas Stars,1,New York Rangers,2,OT,18006,2:24,
1/12/2023,Calgary Flames,4,St. Louis Blues,1,,18096,2:21,
1/12/2023,Vancouver Canucks,4,Tampa Bay Lightning,5,,19092,2:39,
1/12/2023,Florida Panthers,2,Vegas Golden Knights,4,,17735,2:42,
1/13/2023,New Jersey Devils,6,Anaheim Ducks,2,,16167,2:26,
1/13/2023,Winnipeg Jets,4,Pittsburgh Penguins,1,,18268,2:30,
1/13/2023,Edmonton Oilers,7,San Jose Sharks,1,,15887,2:25,
1/14/2023,Toronto Maple Leafs,3,Boston Bruins,4,,17850,2:33,
1/14/2023,Pittsburgh Penguins,1,Carolina Hurricanes,2,,18769,2:24,
1/14/2023,Seattle Kraken,8,Chicago Blackhawks,5,,20075,2:28,
1/14/2023,Ottawa Senators,0,Colorado Avalanche,7,,18124,2:29,
1/14/2023,Calgary Flames,6,Dallas Stars,5,,18532,2:34,
1/14/2023,Columbus Blue Jackets,4,Detroit Red Wings,3,,19515,2:20,
1/14/2023,Vancouver Canucks,3,Florida Panthers,4,,17584,2:27,
1/14/2023,New Jersey Devils,5,Los Angeles Kings,2,,18230,2:38,
1/14/2023,Arizona Coyotes,1,Minnesota Wild,2,,19299,2:26,
1/14/2023,Buffalo Sabres,5,Nashville Predators,3,,17761,2:31,
1/14/2023,Montreal Canadiens,1,New York Islanders,2,,17255,2:24,
1/14/2023,Tampa Bay Lightning,4,St. Louis Blues,2,,18096,2:23,
1/14/2023,Edmonton Oilers,4,Vegas Golden Knights,3,,18143,2:27,
1/14/2023,Philadelphia Flyers,3,Washington Capitals,1,,18573,2:25,
1/15/2023,Vancouver Canucks,4,Carolina Hurricanes,3,SO,18680,2:39,
1/15/2023,Montreal Canadiens,2,New York Rangers,1,,18006,2:22,
1/15/2023,Arizona Coyotes,1,Winnipeg Jets,2,,13949,2:18,
1/16/2023,Philadelphia Flyers,0,Boston Bruins,6,,17850,2:34,
1/16/2023,Florida Panthers,4,Buffalo Sabres,1,,15251,2:24,
1/16/2023,New York Rangers,3,Columbus Blue Jackets,1,,17024,2:25,
1/16/2023,Detroit Red Wings,3,Colorado Avalanche,6,,18117,2:26,
1/16/2023,Calgary Flames,1,Nashville Predators,2,,17159,2:29,
1/16/2023,Washington Capitals,4,New York Islanders,3,OT,16344,2:32,
1/16/2023,Anaheim Ducks,3,Pittsburgh Penguins,4,OT,17784,2:27,
1/16/2023,Tampa Bay Lightning,4,Seattle Kraken,1,,17151,2:18,
1/16/2023,New Jersey Devils,4,San Jose Sharks,3,SO,13293,2:38,
1/16/2023,Ottawa Senators,1,St. Louis Blues,2,,18096,2:25,
1/16/2023,Dallas Stars,4,Vegas Golden Knights,0,,17895,2:25,
1/17/2023,Detroit Red Wings,3,Arizona Coyotes,4,SO,4600,2:36,
